group,category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
3,Vendas,1522,forn_app_sales,Índice volume de vendas no varejo - Móveis e eletrodomésticos,IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,1483,fuel_sales,Índice volume de vendas no varejo - Combustíveis e lubrificantes ,IBGE,M,Index,,diff_diff_12,,3,45,BCB
3,Vendas,1496,nondur_congoods_sales,"Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo",IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,1509,vest_sales,"Índice volume de vendas no varejo - Tecido, vestuário e calçado",IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,1548,vehi_sales,"Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças",IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,20099,medcare_sales,"Índice volume de vendas no varejo - Artigos farmacêuticos, médicos, ortopédicos, perfumaria e cosméticos",IBGE,M,Index,,diff_diff_12,2,3,45,BCB
3,Vendas,20101,books_sales,"Índice volume de vendas no varejo - Livros, jornais, revistas e papelaria",IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,20102,offcomm_sales,Índice volume de vendas no varejo - Equipamentos e materiais para escritório e comunicação,IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,20104,others_sales,Índice volume de vendas no varejo - Outros artigos de uso pessoal e doméstico,IBGE,M,Index,,diff_12,2,3,45,BCB
3,Vendas,7389,vehi_total_sales_fenabrave,Vendas de veículos pelas concessionárias - Total	,Fenabrave,M,Units,,diff_12,2,3,3,BCB
3,Vendas,7384,pass_vehi_sales,Vendas de veículos pelas concessionárias - Automóveis	,Fenabrave,M,Units,,diff_12,2,3,3,BCB
3,Vendas,7385,light_comm_vehi_sales,Vendas de veículos pelas concessionárias - Comerciais leves	,Fenabrave,M,Units,,diff_12,2,3,3,BCB
3,Vendas,7386,truck_sales,Vendas de veículos pelas concessionárias - Caminhões	,Fenabrave,M,Units,,diff_12,2,3,3,BCB
3,Vendas,7387,bus_sales,Vendas de veículos pelas concessionárias - Ônibus	,Fenabrave,M,Units,,diff_12,2,3,3,BCB
3,Vendas,1378,vehi_total_sales_anfavea,Vendas de autoveículos (total)	,Anfavea,M,Units,,diff_12,2,3,6,BCB
3,Vendas,1379,vehi_domestic_sales,Vendas de autoveículos no mercado interno	,Anfavea,M,Units,,diff_12,2,3,6,BCB
4,Energia,1402,energy_comm,Consumo de energia elétrica - Comercial	,Eletrobras,M,Gwh,,diff_12,2,3,22,BCB
4,Energia,1403,energy_res,Consumo de energia elétrica - Residencial	,Eletrobras,M,Gwh,,diff_12,2,3,22,BCB
4,Energia,1404,energy_ind,Consumo de energia elétrica - Industrial	,Eletrobras,M,Gwh,,diff_12,2,3,22,BCB
4,Energia,1406,energy_total,Consumo de energia elétrica - Brasil - Total	,Eletrobras,M,Gwh,,diff_12,2,3,22,BCB
4,Energia,1389,prod_crude_oil,Produção de derivados de petróleo - Óleo bruto	,ANP,M,Barrels/day (mil),,diff_12,0,3,45,BCB
4,Energia,1390,prod_lgn,Produção de derivados de petróleo - LGN	,ANP,M,Barrels/day (mil),,diff_12,0,3,45,BCB
4,Energia,1391,prod_oil_deriv,Produção de derivados de petróleo - Total	,ANP,M,Barrels/day (mil),,diff_12,0,3,45,BCB
4,Energia,1393,co_gas,Consumo de derivados de petróleo - Gasolina,ANP,M,Barrels/day (mil),,diff_12,2,3,45,BCB
4,Energia,1394,co_glp,Consumo de derivados de petróleo - GLP,ANP,M,Barrels/day (mil),,diff_12,2,3,45,BCB
4,Energia,1395,co_oilcomb,Consumo de derivados de petróleo - Óleo combustível	,ANP,M,Barrels/day (mil),,diff_12,0,3,45,BCB
4,Energia,1396,co_diesel,Consumo de derivados de petróleo - Óleo diesel,ANP,M,Barrels/day (mil),,diff_diff_12,2,3,45,BCB
4,Energia,1398,co_oilderiv_total,Consumo de derivados de petróleo - Total	,ANP,M,Barrels/day (mil),,diff_diff_12,2,3,45,BCB
4,Energia,1399,co_hid_alc,Consumo de álcool carburante - Álcool hidratado	,ANP,M,Barrels/day (mil),,diff_12,,3,45,BCB
4,Energia,1401,co_alc_total,Consumo de álcool carburante - Total,ANP,M,Barrels/day (mil),,diff_12,2,3,45,BCB
5,Setor Externo,22701,curr_acc,Transações correntes - mensal - saldo	,BCB-DSTAT,M,US$ ,,diff_diff_12,2,3,50,BCB
5,Setor Externo,23080,idp_gdp_twelve_mon,Investimento Direto no País acumulado em 12 meses em relação ao PIB - mensal,BCB-DSTAT,M,Percentage,,diff_diff_12,2,2,28,BCB
5,Setor Externo,22865,ide_mon,Investimentos diretos no exterior - IDE - mensal - líquido,BCB-DSTAT,M,US$,,diff_12,0,3,28,BCB
5,Setor Externo,SECEX12_XVTOT12,exp_fob,Exportações - FOB,MDIC/Secex,M,US$ (milhões),,diff_diff_12,,3,8,Ipeadata
5,Setor Externo,SECEX12_XBENCAPGCE12,exp_kgood_fob,Exportações - bens de capital - (FOB),MDIC/Secex,M,US$ (milhões),,diff_12,2,3,8,Ipeadata
5,Setor Externo,SECEX12_XBENCONGCE12,exp_comgood_fob,Exportações - FOB - Bens de consumo,MDIC/Secex,M,US$ (milhões),,diff_12,2,3,8,Ipeadata
