group,category,code,name_df,name,source,frequency,original,transf,days_lag,where
1,Labor Market,24348,hrs_wkd_ind_transf,Hours worked in production – manufacturing industry (2006=100),CNI ,M,Index,diff_12,32,SGS-BCB
1,Labor Market,24369,unem_rate_pnad,Unemployment rate - PNADC,IBGE,M,Monthly %,diff_diff,50,SGS-BCB
2,Sales,1455,total_sales,Sales volume index in the retail sector - Total - Brazil,IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,20105,const_sales,Sales volume index in the retail sector - Building materials - Brazil,IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,20106,com_sales,Sales volume index in the retail sector - Broad trade sector - Brazil,IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,1522,forn_app_sales,Sales volume index in the retail sector - Furniture and white goods - Brazil,IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,1483,fuel_sales,Sales volume index in the retail sector - Fuel and lubricants - Brazil,IBGE,M,Index,diff_diff_12,45,SGS-BCB
2,Sales,1496,nondur_congoods_sales,"Sales volume index in the retail sector - Hypermarkets, supermarkets, food, beverages and tobacco - Brazil",IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,1509,vest_sales,"Sales volume index in the retail sector - Textiles, Clothing and Footwear - Brazil",IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,1548,vehi_sales,"Sales volume index in the retail sector - Vehicles and motorcycles, spare parts - Brazil",IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,20099,medcare_sales,"Sales volume index in the retail sector - Pharmac., medical, orthop. and perfumery articles - Brazil",IBGE,M,Index,diff_diff_12,45,SGS-BCB
2,Sales,20101,books_sales,"Sales volume index in the retail sector - Books, newspaper, magazines - Brazil",IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,20102,offcomm_sales,"Sales volume index in the retail sector - Office, comp./comunic. equip. - Brazil",IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,20104,others_sales,Sales volume index in the retail sector - Other art. of personal use - Brazil,IBGE,M,Index,diff_12,45,SGS-BCB
2,Sales,7389,vehi_total_sales_fenabrave,Sales of factory authorized vehicle outlets - Sales (total),Fenabrave,M,Units,diff_12,3,SGS-BCB
